delta L,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2.180883,30.779814,24.808151,25.844409,27.228496,24.942763,24.447816,23.898006,25.003202,23.764065,25.870361,24.974638,24.55241,33.108384,24.722786,19.04692,18.912349
2.180883,30.6514,24.48424,25.797682,27.263066,24.969464,24.474442,23.930121,25.004828,23.759267,25.881996,24.967141,24.537333,33.1353,24.724137,19.066525,18.911525
2.172033,30.635572,24.484901,25.753767,27.352583,25.001046,24.467265,23.891456,24.989334,23.75106,25.897405,24.973293,24.555682,33.201168,24.737048,19.058992,18.891861
2.172033,30.50418,24.782218,25.753493,27.341753,25.010421,24.459821,23.884478,25.006834,23.750109,25.901122,24.967059,24.558084,33.256096,24.752633,19.08623,18.90679
2.172033,31.018616,24.913741,25.785939,27.434244,25.017443,24.461833,23.887375,25.000475,23.740649,25.909857,24.9695,24.584076,33.290878,24.776614,19.108272,18.893631
2.172033,31.017667,24.888442,25.806581,27.32216,25.045925,24.471463,23.915194,25.016469,23.727531,25.92342,24.957997,24.592095,33.320201,24.79714,19.114997,18.919758
2.172033,30.777297,24.772223,25.8692,27.317778,25.07678,24.511746,23.958438,25.018069,23.715225,25.929248,24.948582,24.586119,33.350134,24.819953,19.114526,18.910384
2.172033,30.806237,24.459699,25.799129,27.362667,25.090764,24.524204,23.964408,25.046436,23.717545,25.930697,24.935529,24.561263,33.381457,24.83859,19.115019,18.946323
2.427136,30.580127,24.711722,25.764293,27.368886,25.105505,24.511138,23.938469,25.065895,23.709316,25.936845,24.936317,24.535337,33.434529,24.842558,19.12961,18.970181
2.427136,30.938564,24.945091,25.795949,27.417195,25.088625,24.51145,23.928338,25.071193,23.705151,25.936344,24.943004,24.552093,33.474715,24.869739,19.144622,18.985671
2.427136,31.13761,24.949144,25.809681,27.410282,25.092179,24.524594,23.947583,25.073769,23.707314,25.937485,24.935476,24.569481,33.509234,24.897411,19.160018,18.988116
2.427136,31.063491,24.952096,25.889224,27.339244,25.089019,24.534256,23.991227,25.102896,23.718222,25.963853,24.917607,24.55809,33.494892,24.891402,19.160858,19.012163
2.682239,30.914482,24.625289,25.850292,27.341617,25.101343,24.560252,24.025156,25.112235,23.744307,25.967705,24.906835,24.518607,33.513185,24.8911,19.173685,19.025261
2.682239,30.925346,24.605238,25.804419,27.404904,25.118554,24.535087,24.010808,25.129436,23.747396,25.988422,24.899354,24.507418,33.572903,24.886899,19.185069,19.032863
2.682239,30.776844,24.903354,25.808364,27.390269,25.120019,24.514766,23.996174,25.133121,23.749823,25.989301,24.909736,24.490667,33.627737,24.882474,19.216654,19.019627
2.682239,31.311586,25.065121,25.859685,27.47028,25.11185,24.490556,23.969749,25.147567,23.747569,26.017166,24.914256,24.504544,33.641315,24.871174,19.207992,19.012512
2.682239,31.334199,25.034964,25.894858,27.369015,25.118056,24.485265,23.994174,25.157133,23.764203,26.047094,24.91264,24.529104,33.664418,24.880351,19.205857,18.993741
2.682239,31.111723,24.94352,25.966227,27.357396,25.133033,24.508521,24.015992,25.182373,23.771992,26.064732,24.9111,24.522269,33.6582,24.884795,19.187779,18.99708
2.682239,31.134965,24.620351,25.903731,27.405368,25.145345,24.508899,24.013655,25.203553,23.772338,26.079395,24.906438,24.471979,33.683393,24.879082,19.184283,19.028398
2.937341,30.915617,24.869048,25.881555,27.420961,25.147897,24.49076,23.966071,25.218647,23.768516,26.087557,24.914312,24.465726,33.727536,24.88168,19.169261,19.058042
2.682239,31.270924,25.115057,25.941139,27.485618,25.138332,24.476057,23.938283,25.213579,23.780079,26.103421,24.940399,24.516662,33.766745,24.884049,19.15778,19.04906
2.937341,31.478753,25.152853,25.965956,27.475592,25.141892,24.475682,23.942774,25.229518,23.776191,26.129932,24.943079,24.531137,33.79264,24.895984,19.145308,19.093892
2.937341,31.380376,25.153168,26.061665,27.421582,25.15111,24.487677,23.980844,25.221026,23.783602,26.143528,24.940673,24.537809,33.795096,24.895666,19.138878,19.096624
2.937341,31.227826,24.850938,26.034248,27.450531,25.16656,24.513072,24.009744,25.217337,23.79923,26.157269,24.937211,24.524029,33.814565,24.891982,19.140214,19.107241
2.673389,31.237532,24.837139,25.998531,27.509811,25.184183,24.502947,23.984837,25.235103,23.815169,26.16981,24.938582,24.501796,33.868703,24.89948,19.13796,19.140535
2.928492,31.089536,25.145873,26.010199,27.499951,25.176169,24.482327,23.967025,25.229855,23.819668,26.178665,24.960448,24.490556,33.922856,24.893837,19.153963,19.141686
2.928492,31.613984,25.296718,26.055448,27.603446,25.175365,24.48199,23.956353,25.223208,23.813148,26.197673,24.966281,24.526462,33.958385,24.897978,19.152234,19.107646
2.928492,31.61774,25.276873,26.09178,27.510646,25.198899,24.488984,23.986991,25.218124,23.807771,26.206383,24.96721,24.564292,34.003072,24.906682,19.153947,19.073623
2.928492,31.392385,25.163524,26.159813,27.505111,25.219825,24.525564,24.026951,25.224957,23.806033,26.210951,24.967768,24.549624,34.001424,24.908751,19.15313,19.065424
2.928492,31.402135,24.846914,26.110403,27.564465,25.236907,24.521165,24.020927,25.232054,23.806008,26.220616,24.972039,24.53585,34.041905,24.910534,19.148408,19.051235
2.928492,31.179098,25.097799,26.08393,27.591952,25.254764,24.505312,23.986802,25.234844,23.806902,26.231471,24.986175,24.547676,34.104896,24.919217,19.146012,19.034573
3.183595,31.548973,25.324777,26.123083,27.634487,25.246207,24.488106,23.976363,25.232334,23.804597,26.239063,24.995845,24.550396,34.140856,24.914433,19.151363,19.004908
3.183595,31.736204,25.335515,26.131033,27.633592,25.251242,24.491847,23.979064,25.238092,23.792131,26.256783,24.992702,24.590599,34.160491,24.934843,19.142645,19.006288
3.183595,31.620172,25.319591,26.226489,27.578647,25.270778,24.508471,24.020001,25.24162,23.796595,26.265021,24.986941,24.59746,34.169438,24.948914,19.146801,18.985689
3.183595,31.468816,25.001427,26.182265,27.601409,25.280999,24.530562,24.035243,25.251788,23.789225,26.286645,24.97316,24.592013,34.178619,24.960907,19.134502,19.010218
3.183595,31.448026,25.001388,26.140216,27.659336,25.305258,24.512001,24.005615,25.25474,23.784027,26.292318,24.965931,24.566175,34.236869,24.948839,19.134794,19.020363
3.183595,31.316869,25.296165,26.149048,27.659403,25.296761,24.492678,23.980548,25.250424,23.790572,26.2966,24.980109,24.575834,34.305748,24.959701,19.148137,19.03175
3.438697,31.827763,25.421229,26.18615,27.734871,25.286547,24.490833,23.977493,25.251158,23.800023,26.313671,24.980739,24.595017,34.342705,24.970361,19.158808,19.028782
3.183595,31.818271,25.405969,26.212451,27.626076,25.285734,24.496,24.006563,25.261188,23.798219,26.324095,24.971135,24.585565,34.359587,24.978304,19.155755,19.047117
3.438697,31.587783,25.26355,26.264424,27.599177,25.304559,24.523656,24.040864,25.275252,23.801965,26.325904,24.964177,24.548311,34.353561,24.980461,19.157019,19.05542
3.438697,31.606647,24.974828,26.212532,27.672176,25.324291,24.52724,24.031461,25.284365,23.797482,26.330166,24.964599,24.539883,34.406197,24.989078,19.154041,19.060944
3.438697,31.357864,25.24182,26.183144,27.696692,25.344326,24.509856,23.996331,25.27821,23.795446,26.337339,24.979715,24.538089,34.494619,24.983781,19.161301,19.051641
3.438697,31.781094,25.470859,26.225251,27.753187,25.336752,24.500935,23.981546,25.274796,23.788806,26.343048,24.985111,24.548182,34.528436,24.988498,19.162838,19.042854
3.438697,31.923387,25.457467,26.231304,27.709939,25.348166,24.511869,23.986742,25.299488,23.785444,26.3507,24.980588,24.573381,34.564461,25.017542,19.154604,19.054565
3.438697,31.773321,25.441533,26.314555,27.671356,25.370508,24.535179,24.036944,25.308271,23.793758,26.35488,24.965494,24.59462,34.570819,25.031321,19.156827,19.039282
3.6938,31.661091,25.08737,26.245504,27.709825,25.3838,24.568446,24.05947,25.316795,23.797237,26.363635,24.951974,24.583692,34.572736,25.04411,19.164162,19.057841
3.438697,31.588562,25.123345,26.180428,27.740457,25.411088,24.558932,24.044177,25.328002,23.795877,26.358481,24.939621,24.559853,34.637342,25.052541,19.175713,19.063685
3.6938,31.533512,25.418892,26.198141,27.761928,25.413042,24.55008,24.022983,25.323435,23.788636,26.372762,24.950853,24.606382,34.709126,25.066654,19.175782,19.047576
